Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
single,1,1,Advertising and Marketing Management,daytime,1,139.0,1,38,Basic Education 3rd Cycle (9th–11th Year),5,Skilled Industry and Construction Workers,130.6,1,0,0,1,female,no,18,0,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate
single,1,1,Nursing,daytime,1,136.0,1,19,Basic Education 2nd Cycle (6th–8th Year),9,Unskilled Workers,119.3,1,0,0,1,female,yes,18,0,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,Graduate
single,1,2,Basic Education,daytime,1,133.0,1,19,Basic Education 1st Cycle (4th–5th Year),4,Unskilled Workers,130.2,1,0,0,1,female,no,19,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout
single,53,1,Tourism,daytime,42,110.0,1,1,Secondary Education - 12th Year or Eq.,4,Skilled Industry and Construction Workers,111.8,1,0,0,1,female,yes,21,0,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduate
single,1,1,Veterinary Nursing,daytime,1,149.0,1,38,Basic Education 1st Cycle (4th–5th Year),5,"Services, Security, Sellers",137.1,1,0,0,1,female,yes,18,0,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate
single,1,1,Journalism and Communication,daytime,1,127.0,1,19,Basic Education 1st Cycle (4th–5th Year),9,Intermediate Level Technicians,120.7,1,0,0,1,female,no,20,0,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout
single,18,1,Social Service,daytime,1,137.0,1,19,Basic Education 2nd Cycle (6th–8th Year),5,Machine Operators and Assemblers,137.4,1,0,0,1,female,no,18,0,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled
single,17,2,Nursing,daytime,1,135.0,1,19,Secondary Education - 12th Year or Eq.,5,Administrative Staff,127.3,1,0,0,1,female,no,18,0,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate
single,1,1,Equinculture,daytime,1,137.0,1,3,Basic Education 3rd Cycle (9th–11th Year),3,"Services, Security, Sellers",136.3,1,0,0,1,female,no,20,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate
single,1,1,Basic Education,daytime,1,140.0,1,19,Basic Education 3rd Cycle (9th–11th Year),7,Skilled Industry and Construction Workers,124.6,1,0,0,1,female,no,18,0,0,7,7,6,11.666666666666666,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled
single,1,3,Animation and Multimedia Design,daytime,1,122.0,1,1,Secondary Education - 12th Year or Eq.,9,Machine Operators and Assemblers,120.3,0,0,0,1,female,yes,21,0,0,0,0,0,13.100296840948086,0,0,0,0,0,13.143524991110894,0,11.1,0.6,2.02,Graduate
single,18,4,Oral Hygiene,daytime,1,127.0,1,1,Basic Education 2nd Cycle (6th–8th Year),4,Skilled Industry and Construction Workers,121.8,1,0,0,1,female,no,20,0,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled
single,1,4,Nursing,daytime,1,142.0,1,19,Basic Education 3rd Cycle (9th–11th Year),1,Legislative/Executive Directors and Managers,125.5,1,0,0,1,female,no,18,0,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,12.7,3.7,-1.7,Graduate
single,1,4,Advertising and Marketing Management,daytime,1,125.0,1,1,Basic Education 2nd Cycle (6th–8th Year),4,Skilled Industry and Construction Workers,114.9,1,0,0,1,female,yes,19,0,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,11.1,0.6,2.02,Graduate
single,1,1,Nursing,daytime,1,126.0,1,19,Basic Education 3rd Cycle (9th–11th Year),3,Skilled Industry and Construction Workers,123.9,0,0,0,1,female,no,19,0,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,11.1,0.6,2.02,Graduate
single,1,1,Social Service,daytime,1,151.0,1,19,Basic Education 2nd Cycle (6th–8th Year),9,Unskilled Workers,157.0,1,0,1,1,female,yes,18,0,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,Enrolled
single,17,2,Social Service,daytime,1,115.0,1,19,Basic Education 2nd Cycle (6th–8th Year),7,Machine Operators and Assemblers,116.4,1,0,0,1,female,no,21,0,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,16.2,0.3,-0.92,Graduate
single,1,1,Veterinary Nursing,daytime,1,138.0,1,19,Basic Education 3rd Cycle (9th–11th Year),3,Intermediate Level Technicians,131.0,1,0,0,1,female,no,18,0,0,5,9,5,12.666666666666666,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Enrolled
single,1,1,Management,daytime,1,135.0,1,19,Secondary Education - 12th Year or Eq.,9,Unskilled Workers,122.1,1,0,0,1,female,no,20,0,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,16.2,0.3,-0.92,Graduate
single,17,2,Nursing,daytime,1,127.0,1,3,Higher Education - Degree,1,Armed Forces Professions,118.8,1,0,0,1,male,no,19,0,0,7,9,6,12.933333333333332,0,0,7,7,6,13.716666666666669,0,16.2,0.3,-0.92,Enrolled
single,44,1,Agronomy,daytime,39,150.0,1,4,Doctorate,4,Intellectual and Scientific Specialists,150.0,0,0,0,1,male,no,21,0,0,6,15,5,11.857142857142858,0,0,6,17,5,10.571428571428571,0,16.2,0.3,-0.92,Enrolled
single,51,1,Communication Design,daytime,1,125.0,1,42,Higher Education - Degree,125,Finance and Administration Specialists,130.0,1,0,0,1,male,no,20,0,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate
single,1,1,Management,daytime,1,143.0,1,1,Secondary Education - 12th Year or Eq.,4,Farmers and Agricultural Workers,138.8,0,0,0,0,male,no,18,0,0,5,9,3,11.333333333333334,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled
single,18,1,Social Service (evening attendance),evening,1,138.0,1,19,Secondary Education - 12th Year or Eq.,9,"Services, Security, Sellers",134.5,1,0,0,1,female,no,19,0,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate
single,1,1,Management (evening attendance),evening,1,130.0,1,2,Basic Education 1st Cycle (4th–5th Year),3,Unskilled Workers,131.4,0,0,0,1,male,no,34,0,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,13.9,-0.3,0.79,Graduate
single,39,1,Biofuel Production Technologies,daytime,1,130.0,1,38,Basic Education 1st Cycle (4th–5th Year),9,Farmers and Agricultural Workers,102.5,0,0,1,0,male,no,37,0,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Dropout
single,39,1,Informatics Engineering,daytime,10,133.1,1,34,Basic Education 1st Cycle (4th–5th Year),0,Student,128.8,1,0,0,1,male,no,43,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Dropout
single,43,1,Management,daytime,1,140.0,1,37,Basic Education 1st Cycle (4th–5th Year),6,Farmers and Agricultural Workers,122.9,0,0,0,1,female,no,55,0,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,Dropout
divorced,39,1,Management (evening attendance),evening,1,120.0,1,19,Basic Education 3rd Cycle (9th–11th Year),9,Intermediate Level Technicians,113.9,1,0,0,1,female,no,39,0,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate
single,44,1,Equinculture,daytime,39,120.0,6,4,Master's Degree,3,Farmers and Agricultural Workers,120.0,0,0,1,0,female,no,20,1,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,12.4,0.5,1.79,Dropout
single,1,5,Journalism and Communication,daytime,1,126.0,1,3,Higher Education - Degree,2,Intellectual and Scientific Specialists,121.1,0,0,1,1,female,no,18,0,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
single,1,2,Management,daytime,1,133.0,1,3,Basic Education 3rd Cycle (9th–11th Year),2,Skilled Industry and Construction Workers,120.4,1,0,0,1,female,no,22,0,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate
single,1,6,Nursing,daytime,1,103.0,1,1,Higher Education - Degree,2,Intellectual and Scientific Specialists,100.6,1,1,0,1,female,no,22,0,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,11.1,0.6,2.02,Graduate
single,17,1,Journalism and Communication,daytime,1,120.0,1,1,Basic Education 2nd Cycle (6th–8th Year),5,"Services, Security, Sellers",121.4,0,0,0,0,female,no,20,0,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout
single,39,1,Management (evening attendance),evening,1,133.1,1,37,Basic Education 1st Cycle (4th–5th Year),9,Unskilled Workers,109.7,0,0,0,1,female,no,29,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Dropout
single,17,1,Management (evening attendance),evening,1,154.0,1,38,Basic Education 2nd Cycle (6th–8th Year),4,"Services, Security, Sellers",134.1,0,0,0,1,female,no,24,0,0,5,9,2,11.5,0,0,5,11,3,14.333333333333334,1,7.6,2.6,0.32,Enrolled
single,17,2,Social Service,daytime,1,130.0,1,19,Basic Education 3rd Cycle (9th–11th Year),9,Unskilled Workers,127.6,1,0,0,1,female,no,18,0,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate
single,17,6,Nursing,daytime,1,132.0,1,37,Basic Education 3rd Cycle (9th–11th Year),7,Skilled Industry and Construction Workers,132.4,1,0,0,1,female,yes,22,0,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,11.1,0.6,2.02,Graduate
single,44,1,Social Service (evening attendance),evening,39,130.0,1,1,Basic Education 3rd Cycle (9th–11th Year),9,Unskilled Workers,133.4,0,0,0,1,female,yes,21,0,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,12.4,0.5,1.79,Graduate
single,1,1,Social Service,daytime,1,139.0,1,37,Basic Education 2nd Cycle (6th–8th Year),9,Unskilled Workers,126.1,0,0,0,1,female,yes,19,0,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,12.7,3.7,-1.7,Graduate
single,39,1,Tourism,daytime,1,130.0,1,19,Basic Education 2nd Cycle (6th–8th Year),9,Skilled Industry and Construction Workers,113.5,0,0,0,1,female,yes,24,0,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,Graduate
single,1,1,Nursing,daytime,1,139.0,1,37,Basic Education 2nd Cycle (6th–8th Year),6,Farmers and Agricultural Workers,121.3,1,0,0,1,female,yes,19,0,0,8,10,6,11.833333333333334,0,0,8,10,6,11.833333333333334,0,9.4,-0.8,-3.12,Enrolled
single,1,1,Journalism and Communication,daytime,1,127.0,1,1,Basic Education 3rd Cycle (9th–11th Year),7,Skilled Industry and Construction Workers,121.8,1,0,0,1,female,yes,20,0,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,Enrolled
single,1,3,Equinculture,daytime,1,167.0,1,37,Basic Education 1st Cycle (4th–5th Year),90,Other Situation,159.3,0,0,0,1,female,no,19,0,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate
single,39,1,Management (evening attendance),evening,1,130.0,1,38,Basic Education 2nd Cycle (6th–8th Year),9,Unskilled Workers,120.0,0,0,0,1,female,no,27,0,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,Dropout
single,1,1,Nursing,daytime,1,130.0,1,1,Basic Education 3rd Cycle (9th–11th Year),5,"Services, Security, Sellers",129.1,1,0,0,1,female,no,18,0,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate
married,7,1,Tourism,daytime,3,130.0,1,1,Higher Education - Degree,4,Intermediate Level Technicians,130.0,0,0,0,1,female,no,39,0,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout
single,39,1,Equinculture,daytime,40,129.0,1,3,Higher Education - Degree,2,Intellectual and Scientific Specialists,155.3,1,0,0,1,female,no,27,0,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout
single,17,1,Nursing,daytime,1,141.0,1,38,Basic Education 2nd Cycle (6th–8th Year),7,Armed Forces Professions,139.8,1,0,0,1,female,no,18,0,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Graduate
single,1,3,Animation and Multimedia Design,daytime,1,125.0,1,38,Basic Education 1st Cycle (4th–5th Year),4,Unskilled Workers,115.2,1,0,0,1,female,no,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Enrolled
single,1,2,Nursing,daytime,1,125.0,1,19,Basic Education 3rd Cycle (9th–11th Year),9,Unskilled Workers,114.9,0,0,0,1,female,no,18,0,0,7,8,6,13.133333333333333,0,0,8,12,7,12.221428571428572,0,16.2,0.3,-0.92,Graduate
single,44,1,Social Service,daytime,39,130.0,1,19,Secondary Education - 12th Year or Eq.,9,Unskilled Workers,131.9,0,0,0,1,female,yes,21,0,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,Graduate
single,17,3,Animation and Multimedia Design,daytime,1,133.0,1,1,Basic Education 1st Cycle (4th–5th Year),4,Skilled Industry and Construction Workers,126.0,1,0,0,1,male,yes,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Enrolled
single,17,1,Communication Design,daytime,1,127.0,1,1,Secondary Education - 12th Year or Eq.,3,Administrative Staff,130.2,1,0,0,1,male,no,19,0,0,6,6,5,11.4,0,0,6,8,1,10.0,0,10.8,1.4,1.74,Enrolled
single,43,1,Communication Design,daytime,1,116.0,1,1,Secondary Education - 12th Year or Eq.,3,Intermediate Level Technicians,120.9,0,0,0,1,male,no,24,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Enrolled
divorced,42,1,Nursing,daytime,19,133.1,1,1,Secondary Education - 12th Year or Eq.,5,"Services, Security, Sellers",126.0,1,0,0,1,male,no,29,0,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,Dropout
single,1,3,Animation and Multimedia Design,daytime,1,139.0,1,19,Basic Education 3rd Cycle (9th–11th Year),5,Intermediate Level Technicians,128.2,1,0,0,1,male,yes,19,0,0,0,0,0,13.100296840948086,0,0,0,0,0,13.143524991110894,0,10.8,1.4,1.74,Graduate
single,44,1,Agronomy,daytime,39,130.0,1,19,Basic Education 1st Cycle (4th–5th Year),9,Unskilled Workers,130.0,1,0,0,1,male,no,23,0,0,6,8,6,12.571428571428571,0,0,6,7,6,12.428571428571429,0,8.9,1.4,3.51,Graduate
single,1,3,Management,daytime,1,125.0,1,1,Basic Education 2nd Cycle (6th–8th Year),7,Skilled Industry and Construction Workers,120.1,0,0,1,1,male,no,19,0,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Dropout
single,39,1,Tourism,daytime,1,160.0,1,19,Basic Education 1st Cycle (4th–5th Year),7,Armed Forces Professions,100.0,0,0,0,1,male,no,26,0,0,6,7,6,12.0,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,Enrolled
single,17,1,Management,daytime,1,148.0,1,38,Basic Education 1st Cycle (4th–5th Year),5,"Services, Security, Sellers",134.0,0,0,0,1,male,no,18,0,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled
single,17,1,Nursing,daytime,1,150.0,1,37,Basic Education 3rd Cycle (9th–11th Year),8,Administrative Staff,130.8,0,0,0,1,male,no,24,0,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Graduate
single,1,1,Animation and Multimedia Design,daytime,1,141.0,1,19,Basic Education 3rd Cycle (9th–11th Year),5,Armed Forces Professions,135.8,1,0,0,1,male,no,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout
single,17,4,Tourism,daytime,1,118.0,1,38,Basic Education 1st Cycle (4th–5th Year),5,Skilled Industry and Construction Workers,111.7,1,0,0,1,male,no,18,0,0,6,12,3,11.666666666666666,0,0,6,12,1,12.0,0,12.4,0.5,1.79,Dropout
single,1,2,Journalism and Communication,daytime,1,142.0,1,38,Basic Education 2nd Cycle (6th–8th Year),9,Unskilled Workers,132.9,1,0,0,1,male,no,18,0,0,6,8,6,12.333333333333334,0,0,6,11,3,12.333333333333334,0,10.8,1.4,1.74,Graduate
single,17,3,Management,daytime,1,120.0,1,19,Basic Education 3rd Cycle (9th–11th Year),4,Skilled Industry and Construction Workers,115.5,1,0,1,1,male,no,18,0,0,5,8,3,10.333333333333334,0,0,5,11,3,10.857142857142858,0,10.8,1.4,1.74,Dropout
single,18,4,Tourism,daytime,1,106.0,1,19,Basic Education 1st Cycle (4th–5th Year),7,Skilled Industry and Construction Workers,106.0,1,0,0,1,male,yes,21,0,0,6,8,4,10.5,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,Dropout
single,17,4,Journalism and Communication,daytime,1,121.0,1,1,Basic Education 3rd Cycle (9th–11th Year),9,Machine Operators and Assemblers,120.3,1,0,1,1,male,yes,19,0,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,Graduate
single,17,4,Nursing,daytime,1,150.0,1,38,Basic Education 1st Cycle (4th–5th Year),9,Unskilled Workers,130.8,0,0,0,1,male,yes,22,0,0,7,7,7,14.842857142857142,0,0,8,9,8,15.055555555555555,0,16.2,0.3,-0.92,Graduate
married,39,1,Social Service (evening attendance),evening,1,120.0,1,37,Basic Education 1st Cycle (4th–5th Year),9,Farmers and Agricultural Workers,117.0,0,0,0,1,male,no,33,0,0,6,8,6,12.0,0,0,6,6,6,11.666666666666666,0,10.8,1.4,1.74,Graduate
single,1,6,Basic Education,daytime,1,114.0,1,19,Basic Education 3rd Cycle (9th–11th Year),9,Unskilled Workers,110.2,1,0,0,1,male,no,20,0,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Dropout
single,39,1,Management (evening attendance),evening,2,140.0,1,3,Higher Education - Degree,2,Intellectual and Scientific Specialists,155.7,1,0,0,1,male,no,35,0,0,1,1,0,0.0,1,0,5,0,0,0.0,0,10.8,1.4,1.74,Dropout
single,39,1,Agronomy,daytime,4,160.0,1,3,Higher Education - Degree,4,Intellectual and Scientific Specialists,180.4,0,0,1,1,male,no,24,0,6,12,17,6,12.166666666666666,0,7,12,14,10,13.3,0,12.4,0.5,1.79,Dropout
single,17,1,Tourism,daytime,1,120.0,1,19,Basic Education 3rd Cycle (9th–11th Year),4,Administrative Staff,125.5,0,0,0,1,male,no,18,0,0,5,6,5,12.0,0,0,5,8,3,11.333333333333334,0,12.7,3.7,-1.7,Enrolled
married,39,1,Social Service (evening attendance),evening,1,130.0,1,37,Basic Education 1st Cycle (4th–5th Year),9,Farmers and Agricultural Workers,110.0,1,0,0,1,female,no,33,0,0,6,7,6,11.0,0,0,6,11,5,11.0,0,9.4,-0.8,-3.12,Graduate
single,42,1,Nursing,daytime,1,160.0,1,37,Basic Education 2nd Cycle (6th–8th Year),9,Skilled Industry and Construction Workers,161.0,1,0,0,1,female,yes,22,0,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,Graduate
single,39,1,Advertising and Marketing Management,daytime,1,120.0,1,1,Basic Education 3rd Cycle (9th–11th Year),4,"Services, Security, Sellers",100.0,0,0,0,1,female,yes,25,0,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,Graduate
single,17,1,Communication Design,daytime,1,124.0,1,19,Basic Education 2nd Cycle (6th–8th Year),4,Student,117.6,1,0,0,1,male,no,20,0,0,6,9,6,10.666666666666666,1,0,6,6,5,11.2,0,7.6,2.6,0.32,Graduate
single,1,6,Management,daytime,1,143.0,1,38,Basic Education 1st Cycle (4th–5th Year),9,Unskilled Workers,128.7,1,0,0,1,male,no,23,0,0,5,6,4,14.0,0,0,5,5,5,13.8,0,11.1,0.6,2.02,Enrolled
single,43,2,Informatics Engineering,daytime,1,115.0,1,38,Basic Education 3rd Cycle (9th–11th Year),9,Farmers and Agricultural Workers,112.2,1,0,1,1,male,no,18,0,0,5,9,2,10.0,0,0,5,9,0,0.0,0,15.5,2.8,-4.06,Enrolled
single,39,1,Nursing,daytime,1,133.1,1,1,Secondary Education - 12th Year or Eq.,4,Armed Forces Professions,100.8,0,0,0,1,male,no,24,0,0,7,18,0,0.0,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,Dropout
single,17,2,Journalism and Communication,daytime,1,133.1,41,19,Secondary Education - 12th Year or Eq.,9,Unskilled Workers,105.0,1,0,0,0,female,no,21,1,0,6,6,6,14.0,0,0,6,6,6,13.5,0,8.9,1.4,3.51,Graduate
single,15,1,Equinculture,daytime,1,133.1,41,1,Secondary Education - 12th Year or Eq.,4,Administrative Staff,100.0,0,0,0,1,female,no,26,1,0,6,7,2,12.0,1,0,6,6,0,0.0,0,8.9,1.4,3.51,Dropout
married,39,1,Basic Education,daytime,10,133.1,1,37,Unknown,0,Student,115.5,0,0,0,1,female,no,39,0,0,6,12,3,12.666666666666666,0,0,6,14,0,0.0,1,7.6,2.6,0.32,Dropout
married,39,1,Social Service (evening attendance),evening,1,133.1,1,37,Basic Education 3rd Cycle (9th–11th Year),9,Unskilled Workers,114.0,0,0,0,1,female,no,44,0,2,8,11,8,11.875,0,0,6,7,6,12.333333333333334,0,12.7,3.7,-1.7,Graduate
single,15,1,Informatics Engineering,daytime,1,130.0,26,38,Higher Education - Degree,9,Intellectual and Scientific Specialists,137.0,1,0,0,1,male,no,19,1,0,5,9,5,14.0,0,0,5,11,3,13.25,0,13.9,-0.3,0.79,Enrolled
single,1,5,Journalism and Communication,daytime,1,135.0,1,37,Secondary Education - 12th Year or Eq.,5,"Services, Security, Sellers",124.9,1,0,0,1,female,no,18,0,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,Graduate
single,1,5,Nursing,daytime,1,132.0,1,37,Basic Education 1st Cycle (4th–5th Year),7,Skilled Industry and Construction Workers,120.3,1,0,0,1,female,yes,18,0,0,7,7,7,13.75,0,0,8,9,8,14.47777777777778,0,12.4,0.5,1.79,Graduate
single,1,1,Veterinary Nursing,daytime,1,135.0,1,1,Bachelor's Degree,9,Legislative/Executive Directors and Managers,134.3,1,0,0,1,female,no,19,0,0,5,7,5,14.2,2,0,5,7,5,13.8,0,12.7,3.7,-1.7,Enrolled
single,1,4,Nursing,daytime,1,115.0,1,3,Higher Education - Degree,2,Intellectual and Scientific Specialists,111.5,1,0,1,0,female,no,19,0,0,7,10,4,11.96,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,Dropout
single,53,1,Veterinary Nursing,daytime,42,130.0,1,38,Basic Education 2nd Cycle (6th–8th Year),9,Unskilled Workers,128.8,0,0,0,1,female,no,21,0,7,10,12,8,12.875,0,4,9,14,5,13.4,0,8.9,1.4,3.51,Dropout
single,1,4,Animation and Multimedia Design,daytime,1,133.1,1,1,Secondary Education - 12th Year or Eq.,9,Armed Forces Professions,110.0,1,0,0,1,female,no,20,0,0,0,0,0,13.100296840948086,0,0,0,0,0,13.143524991110894,0,16.2,0.3,-0.92,Graduate
